,SensorId, TimeStamp (s), AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g),Class
56,1,0.56,0.06591934,-1.00651395,0.08567392,0.11883575,-1.24172556,0.17080398,-47.23764801,1.43232965,-98.8015213,0.24252895,0.12576093,-0.17669271,0.99999607,-0.00211815,-0.0010942,0.00154425,0.00691267,0.00810895,0.0122273,2
57,1,0.57,0.06467191,-1.01158345,0.08113999,0.35837236,-1.58609271,-0.25882,-46.03916931,-0.49693072,-99.85384369,0.26581439,0.02584474,-0.19105875,0.99999595,-0.00232004,-0.00022167,0.00166782,0.00807208,0.00309987,0.01685566,2
58,1,0.58,0.0657044,-1.0111928,0.07275313,-0.28395146,-1.6803081,-0.44769004,-47.23764801,1.2277112,-99.18152618,0.26183268,0.03160584,-0.20722477,0.99999571,-0.00228541,-0.00027168,0.001809,0.00571046,-0.00549403,0.01593061,2
59,1,0.59,0.07564323,-1.00145149,0.07324103,-0.40050656,-0.98665929,-0.38673332,-47.38380432,1.52002335,-99.56153107,0.25716326,0.03622031,-0.2164612,0.99999565,-0.00224476,-0.00031184,0.00188968,-0.00479092,-0.00419899,0.00696716,2
60,1,0.6,0.0796258,-0.99547857,0.07880104,0.28659075,-0.14464991,-0.29182649,-47.06226349,1.54925454,-99.91230774,0.25994056,0.03924091,-0.21787079,0.99999559,-0.00226905,-0.00033813,0.00190205,-0.00908634,0.00177582,0.00170543,2
61,1,0.61,0.07689117,-0.99510628,0.08018789,0.46139476,0.11789704,-0.12782483,-47.06226349,1.54925454,-99.91230774,0.26464343,0.04042821,-0.21692045,0.99999553,-0.00231011,-0.00034843,0.0018938,-0.00634376,0.00310713,0.00124491,2
62,1,0.62,0.0716034,-0.99755901,0.08185621,-0.06255458,0.45925525,-0.05941871,-47.3545723,1.11078632,-99.8830719,0.30018273,0.02059406,-0.21432784,0.99999487,-0.00261992,-0.00017482,0.00187083,-0.00097398,0.00440246,0.00343819,2
63,1,0.63,0.06634568,-0.99988061,0.0794643,-0.56546974,0.78392822,-0.51073438,-47.03303146,1.60771704,-99.70768738,0.29512158,0.02507542,-0.20574269,0.99999505,-0.00257581,-0.0002142,0.001796,0.00420667,0.00144548,0.00520953,2
64,1,0.64,0.06561586,-1.0022068,0.07930668,-0.36854339,0.96032816,-0.90361035,-47.26688004,2.22157264,-99.50306702,0.2921629,0.03333583,-0.19523442,0.99999529,-0.00255009,-0.00028656,0.00170448,0.00521142,0.00118728,0.00746132,2
65,1,0.65,0.06382159,-1.00628042,0.07384449,-0.24109788,0.90991074,-1.16590333,-46.97456741,1.34463608,-99.8830719,0.29045767,0.04425132,-0.18511477,0.99999541,-0.00253534,-0.00038207,0.0016164,0.00743144,-0.0045254,0.01099328,2
66,1,0.66,0.07105322,-1.0077728,0.07185668,-0.4717575,0.76825464,-1.22125149,-47.32534409,1.52002335,-99.15229034,0.28634518,0.05582921,-0.17619787,0.99999565,-0.00249958,-0.00048336,0.00153883,0.00051659,-0.00655598,0.01283853,2
